UUID,id,NEW_title,NEW_abstract,NEW_keywords_theme,NEW_keywords_place,NEW_topic_categories,NEW_link_download,NEW_link_information,NEW_link_service_esri,NEW_link_service_wms,NEW_distribution_format,NEW_date_publication,NEW_date_revision,originator,publisher,datasetURI
db475205-5d76-4653-bdf2-85fdda6ffeb4,840955,Airport_Points,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Airport_Points
5c49b482-34ff-4ff7-9f93-6cf772a675dc,840948,Campau,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Campau
429f8dcf-aede-46ea-baca-8e69405c3025,840949,BUS_STOP_DDOT_2014,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/DDOT-Bus-Stops/h7tb-utv7,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,BUS_STOP_DDOT_2014
c59fd71c-0fc5-4547-83af-6f86db925d51,840950,Boyton,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Boyton
b8fd6ae9-875b-4a80-a636-0b9af4ccaf03,840951,Blockgroup2010,,,"Detroit, Michigan",,https://data.detroitmi.gov/api/geospatial/iguc-9tjj?method=export&format=Shapefile,https://data.detroitmi.gov/Government/2010-Census-Block-Groups/iguc-9tjj,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Blockgroup2010
cec9afa5-02a2-49cc-b84f-fa77762ca386,840944,Central Southwest,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Central Southwest
48279762-31d2-4248-98ca-f17f056f1716,840945,CensusTracts2010,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/2010-Census-Tracts/gx6d-7i83,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,CensusTracts2010
b2a270e6-cfbd-4636-8f53-4ab5b0faf631,840946,CensusTract2000_MGFv7b,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/2000-Census-Tracts/4b6s-3ev3,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,CensusTract2000_MGFv7b
83539684-9a96-411c-8327-b92b72f929da,840947,CensusTract1990_MGFv7b,,,"Detroit, Michigan",,https://data.detroitmi.gov/api/geospatial/7rr3-avkc?method=export&format=Shapefile,https://data.detroitmi.gov/Government/1990-Census-Tracts/7rr3-avkc,,,Shapefile shapefile,1/22/15,,,City of Detroit Open Data Portal,CensusTract1990_MGFv7b
4af55fd3-406f-4522-a3b2-07bf627b8df9,840960,2014_Homicides,,,"Detroit, Michigan",,https://data.detroitmi.gov/api/geospatial/6j9h-tiym?method=export&format=Shapefile,https://data.detroitmi.gov/Public-Safety/DPD-2014-Homicide-Offenses-Victims-Confirmed-Map/6j9h-tiym,,,Shapefile shapefile,1/7/16,,,City of Detroit Open Data Portal,2014_Homicides
